1;"3ºE A";"CN 2 ";"BG   ";"     ";4;3
883;"4ºE B";"IF 1 ";"INF  ";"2.1  ";3;3
884;"4ºE C";"IF 1 ";"INF  ";"2.1  ";3;3
885;"4ºE C";"MA 4 ";"MAB  ";"     ";2;6
886;"4ºE C";"MA 4 ";"MAB  ";"     ";5;5
887;"4ºE C";"MA 4 ";"MAB  ";"     ";3;6
888;"4ºE C";"DI 2 ";"EPV  ";"     ";2;5
889;"4ºE C";"DI 2 ";"EPV  ";"     ";1;4
890;"4ºE C";"DI 2 ";"EPV  ";"     ";4;6
891;"2BlA ";"EF 1 ";"EF2  ";"     ";4;6
892;"2BcB ";"EF 1 ";"EF2  ";"     ";4;6
893;"2BlA ";"CN 2 ";"GEL  ";"     ";4;6
894;"2BcB ";"CN 2 ";"GEL  ";"     ";4;6
895;"2BlA ";"EF 1 ";"EF2  ";"     ";1;6
896;"2BcB ";"EF 1 ";"EF2  ";"     ";1;6
897;"2BlA ";"CN 2 ";"GEL  ";"     ";1;6
898;"2BcB ";"CN 2 ";"GEL  ";"     ";1;6
899;"2BlA ";"EF 1 ";"EF2  ";"     ";2;5
900;"2BcB ";"EF 1 ";"EF2  ";"     ";2;5
901;"2BlA ";"CN 2 ";"GEL  ";"     ";2;5
902;"2BcB ";"CN 2 ";"GEL  ";"     ";2;5
903;"";"LE 2 ";"RD   ";"     ";4;3
904;"";"LE 3 ";"RD   ";"     ";4;3
905;"";"LE 4 ";"RD   ";"     ";4;3
906;"";"LE 1 ";"RD   ";"     ";4;3
907;"";"LE 5 ";"RD   ";"     ";4;3
908;"";"MA 1 ";"RD   ";"     ";3;3
909;"";"MA 3 ";"RD   ";"     ";3;3
910;"";"MA 2 ";"RD   ";"     ";3;3
911;"";"MA 4 ";"RD   ";"     ";3;3
912;"";"MA 5 ";"RD   ";"     ";3;3
913;"";"CN 3 ";"RD   ";"     ";4;4
914;"";"CN 2 ";"RD   ";"     ";4;4
915;"";"CN 1 ";"RD   ";"     ";4;4
916;"";"SO 4 ";"RD   ";"     ";4;4
917;"";"SO 2 ";"RD   ";"     ";4;4
918;"";"SO 1 ";"RD   ";"     ";4;4
919;"";"SO 3 ";"RD   ";"     ";4;4
920;"";"IN 2 ";"RD   ";"     ";3;3
921;"";"IN 3 ";"RD   ";"     ";3;3
922;"";"IN 4 ";"RD   ";"     ";3;3
923;"";"IN 1 ";"RD   ";"     ";3;3
924;"GU   ";"LE 1 ";"GUARD";"     ";3;3
925;"GU   ";"LE 1 ";"GUARD";"     ";3;2
926;"GU   ";"LE 1 ";"GUARD";"     ";4;1
